Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_uniformsmall_blocknorm_seed12_iter1000_r2/partition_1x1_seed=2 --iterations 1000 --report-every 2 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration  206 | cost=0.000133178607114 | residual=0.0115403036004 | consensus=0 | error=0.0135443395532
Iteration  208 | cost=0.00013317860668 | residual=0.0115403035817 | consensus=0 | error=0.0135443367094
Iteration  210 | cost=0.000133178606678 | residual=0.0115403035815 | consensus=0 | error=0.0135443506353
Iteration  212 | cost=0.000133178606392 | residual=0.0115403035692 | consensus=0 | error=0.013544345863
Iteration  214 | cost=0.000133178605831 | residual=0.0115403035448 | consensus=0 | error=0.0135443369522
Iteration  216 | cost=0.000133178605709 | residual=0.0115403035396 | consensus=0 | error=0.0135443456921
Iteration  218 | cost=0.00013317860587 | residual=0.0115403035465 | consensus=0 | error=0.0135443486645
Iteration  220 | cost=0.000133178605417 | residual=0.0115403035268 | consensus=0 | error=0.0135443399172
Iteration  222 | cost=0.000133178605345 | residual=0.0115403035238 | consensus=0 | error=0.0135443419181
Iteration  224 | cost=0.000133178605421 | residual=0.0115403035271 | consensus=0 | error=0.0135443477178
Iteration  226 | cost=0.000133178605229 | residual=0.0115403035188 | consensus=0 | error=0.013544342881
Iteration  228 | cost=0.00013317860519 | residual=0.0115403035171 | consensus=0 | error=0.0135443410419
Iteration  230 | cost=0.000133178605158 | residual=0.0115403035157 | consensus=0 | error=0.0135443461487
Iteration  232 | cost=0.000133178605123 | residual=0.0115403035142 | consensus=0 | error=0.0135443447156
Iteration  234 | cost=0.000133178605102 | residual=0.0115403035133 | consensus=0 | error=0.0135443413473
Iteration  236 | cost=0.000133178605038 | residual=0.0115403035105 | consensus=0 | error=0.0135443443844
Iteration  238 | cost=0.000133178605061 | residual=0.0115403035115 | consensus=0 | error=0.0135443451959
Iteration  240 | cost=0.000133178605033 | residual=0.0115403035103 | consensus=0 | error=0.013544342298
Iteration  242 | cost=0.000133178605009 | residual=0.0115403035093 | consensus=0 | error=0.0135443435611
Iteration  244 | cost=0.000133178605005 | residual=0.0115403035091 | consensus=0 | error=0.0135443451414
Iteration  246 | cost=0.000133178605003 | residual=0.011540303509 | consensus=0 | error=0.0135443430642
Iteration  248 | cost=0.000133178604988 | residual=0.0115403035083 | consensus=0 | error=0.0135443430816
Iteration  250 | cost=0.000133178604983 | residual=0.0115403035081 | consensus=0 | error=0.0135443447101
Iteration  252 | cost=0.000133178604982 | residual=0.0115403035081 | consensus=0 | error=0.0135443436062
Iteration  254 | cost=0.000133178604975 | residual=0.0115403035078 | consensus=0 | error=0.0135443430861
Iteration  256 | cost=0.000133178604973 | residual=0.0115403035077 | consensus=0 | error=0.0135443443859
Iteration  258 | cost=0.000133178604967 | residual=0.0115403035075 | consensus=0 | error=0.0135443438933
Iteration  260 | cost=0.000133178604968 | residual=0.0115403035075 | consensus=0 | error=0.0135443431405
Iteration  262 | cost=0.000133178604968 | residual=0.0115403035075 | consensus=0 | error=0.0135443440537
Iteration  264 | cost=0.000133178604965 | residual=0.0115403035073 | consensus=0 | error=0.0135443440137
Iteration  266 | cost=0.000133178604964 | residual=0.0115403035073 | consensus=0 | error=0.0135443433176
Iteration  268 | cost=0.000133178604965 | residual=0.0115403035073 | consensus=0 | error=0.0135443438845
Iteration  270 | cost=0.000133178604963 | residual=0.0115403035073 | consensus=0 | error=0.0135443440377
Iteration  272 | cost=0.000133178604962 | residual=0.0115403035072 | consensus=0 | error=0.0135443434399
Iteration  274 | cost=0.000133178604964 | residual=0.0115403035072 | consensus=0 | error=0.0135443437457
Iteration  276 | cost=0.000133178604959 | residual=0.0115403035072 | consensus=0 | error=0.0135443440019
Iteration  278 | cost=0.000133178604961 | residual=0.0115403035072 | consensus=0 | error=0.0135443435699
Iteration  280 | cost=0.000133178604961 | residual=0.0115403035072 | consensus=0 | error=0.0135443437063
Iteration  282 | cost=0.000133178604961 | residual=0.0115403035072 | consensus=0 | error=0.0135443439532
Iteration  284 | cost=0.00013317860496 | residual=0.0115403035072 | consensus=0 | error=0.0135443436401
Iteration  286 | cost=0.00013317860496 | residual=0.0115403035072 | consensus=0 | error=0.0135443436773
Iteration  288 | cost=0.00013317860496 | residual=0.0115403035072 | consensus=0 | error=0.0135443438994
Iteration  290 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.013544343698
Iteration  292 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443436899
Iteration  294 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443438591
Iteration  296 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437202
Iteration  298 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443436953
Iteration  300 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443438276
Iteration  302 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437384
Iteration  304 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437129
Iteration  306 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443438072
Iteration  308 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437415
Iteration  310 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437208
Iteration  312 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.013544343793
Iteration  314 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437467
Iteration  316 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.013544343732
Iteration  318 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437832
Iteration  320 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.013544343746
Iteration  322 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437373
Iteration  324 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437763
Iteration  326 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437482
Iteration  328 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437436
Iteration  330 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437706
Iteration  332 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437476
Iteration  334 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.013544343747
Iteration  336 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437668
Iteration  338 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437489
Iteration  340 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437505
Iteration  342 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.013544343763
Iteration  344 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437489
Iteration  346 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437527
Iteration  348 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437606
Iteration  350 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.01354434375
Iteration  352 | cost=0.000133178604958 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  354 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437581
Iteration  356 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437505
Iteration  358 | cost=0.000133178604958 | residual=0.0115403035071 | consensus=0 | error=0.0135443437554
Iteration  360 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437566
Iteration  362 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437516
Iteration  364 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437559
Iteration  366 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437552
Iteration  368 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437523
Iteration  370 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437561
Iteration  372 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  374 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437532
Iteration  376 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437558
Iteration  378 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437539
Iteration  380 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437539
Iteration  382 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437556
Iteration  384 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437538
Iteration  386 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  388 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437551
Iteration  390 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437537
Iteration  392 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437547
Iteration  394 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437548
Iteration  396 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437539
Iteration  398 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437548
Iteration  400 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  402 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437542
Iteration  404 | cost=0.000133178604958 | residual=0.0115403035071 | consensus=0 | error=0.0135443437548
Iteration  406 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437543
Iteration  408 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  410 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437547
Iteration  412 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437543
Iteration  414 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  416 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  418 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437543
Iteration  420 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437546
