[2026-03-10 13:07:58] System variant: cluster12_2x2_q2_index_qiskit
[2026-03-10 13:07:58] static_ops module: Qiskit_simulation.static_ops_2x2_cluster12_qiskit
[2026-03-10 13:07:58] local data qubits per agent: 11
[2026-03-10 13:07:58] epochs=5000, log_every=50, lr=0.01, spsa_c=0.05
[2026-03-10 13:07:58] Aer method=matrix_product_state, precision=single, max_bond_dim=8
[2026-03-10 13:07:58] Metropolis weight matrix Wm =
[[0.6666667  0.33333334]
 [0.33333334 0.6666667 ]]
[2026-03-10 13:07:58] Analytic spectrum: lambda_min=0.02000000, lambda_max=1.00000000, cond(A)=50.00000000
[2026-03-10 13:07:59] [Init] Initial Loss = 2.285124e+01
[2026-03-10 13:08:00] [Init] Residual = 1.312297e+00 | Variance(mean) = 1.176403e+00
[2026-03-10 14:34:17] [Epoch 02850] Loss = 5.107938e-01 | Residual = 1.005408e+00 | Variance(mean) = 6.790372e-10
[2026-03-10 14:35:39] [Epoch 02900] Loss = 5.093341e-01 | Residual = 1.004676e+00 | Variance(mean) = 1.495358e-09
[2026-03-10 14:37:01] [Epoch 02950] Loss = 5.081057e-01 | Residual = 1.004070e+00 | Variance(mean) = 2.087708e-10
[2026-03-10 14:38:24] [Epoch 03000] Loss = 5.068366e-01 | Residual = 1.003370e+00 | Variance(mean) = 2.174626e-09
[2026-03-10 14:39:47] [Epoch 03050] Loss = 5.058100e-01 | Residual = 1.002929e+00 | Variance(mean) = 5.772487e-09
[2026-03-10 14:41:11] [Epoch 03100] Loss = 5.050107e-01 | Residual = 1.002528e+00 | Variance(mean) = 1.141527e-09
[2026-03-10 14:42:34] [Epoch 03150] Loss = 5.044124e-01 | Residual = 1.002218e+00 | Variance(mean) = 1.622450e-10
[2026-03-10 14:43:57] [Epoch 03200] Loss = 5.038265e-01 | Residual = 1.001935e+00 | Variance(mean) = 4.970129e-10
[2026-03-10 14:45:21] [Epoch 03250] Loss = 5.032438e-01 | Residual = 1.001642e+00 | Variance(mean) = 2.878050e-10
[2026-03-10 14:46:44] [Epoch 03300] Loss = 5.028139e-01 | Residual = 1.001427e+00 | Variance(mean) = 9.889784e-10
[2026-03-10 14:48:07] [Epoch 03350] Loss = 5.025167e-01 | Residual = 1.001270e+00 | Variance(mean) = 9.848489e-10
[2026-03-10 14:49:30] [Epoch 03400] Loss = 5.021039e-01 | Residual = 1.001063e+00 | Variance(mean) = 5.216516e-10
[2026-03-10 14:50:54] [Epoch 03450] Loss = 5.017332e-01 | Residual = 1.000883e+00 | Variance(mean) = 6.395295e-11
[2026-03-10 14:52:20] [Epoch 03500] Loss = 5.014364e-01 | Residual = 1.000736e+00 | Variance(mean) = 1.843369e-09
[2026-03-10 14:53:45] [Epoch 03550] Loss = 5.011709e-01 | Residual = 1.000603e+00 | Variance(mean) = 2.264927e-10
[2026-03-10 14:55:09] [Epoch 03600] Loss = 5.009823e-01 | Residual = 1.000507e+00 | Variance(mean) = 1.845203e-10
[2026-03-10 14:56:32] [Epoch 03650] Loss = 5.007827e-01 | Residual = 1.000403e+00 | Variance(mean) = 3.299039e-10
[2026-03-10 14:57:54] [Epoch 03700] Loss = 5.006796e-01 | Residual = 1.000353e+00 | Variance(mean) = 7.827129e-10
[2026-03-10 14:59:17] [Epoch 03750] Loss = 5.005743e-01 | Residual = 1.000300e+00 | Variance(mean) = 3.815780e-10
[2026-03-10 15:00:40] [Epoch 03800] Loss = 5.005052e-01 | Residual = 1.000264e+00 | Variance(mean) = 6.379176e-10
[2026-03-10 15:02:02] [Epoch 03850] Loss = 5.004001e-01 | Residual = 1.000211e+00 | Variance(mean) = 7.231830e-11
[2026-03-10 15:03:26] [Epoch 03900] Loss = 5.003131e-01 | Residual = 1.000166e+00 | Variance(mean) = 1.141987e-10
[2026-03-10 15:04:50] [Epoch 03950] Loss = 5.002531e-01 | Residual = 1.000135e+00 | Variance(mean) = 4.835776e-11
[2026-03-10 15:06:15] [Epoch 04000] Loss = 5.002065e-01 | Residual = 1.000111e+00 | Variance(mean) = 5.704708e-11
[2026-03-10 15:07:39] [Epoch 04050] Loss = 5.001647e-01 | Residual = 1.000088e+00 | Variance(mean) = 1.058200e-10
[2026-03-10 15:09:04] [Epoch 04100] Loss = 5.001256e-01 | Residual = 1.000068e+00 | Variance(mean) = 7.437437e-10
[2026-03-10 15:10:28] [Epoch 04150] Loss = 5.001009e-01 | Residual = 1.000055e+00 | Variance(mean) = 9.759543e-12
[2026-03-10 15:11:50] [Epoch 04200] Loss = 5.000785e-01 | Residual = 1.000044e+00 | Variance(mean) = 3.520733e-10
[2026-03-10 15:13:12] [Epoch 04250] Loss = 5.000654e-01 | Residual = 1.000037e+00 | Variance(mean) = 6.855084e-12
[2026-03-10 15:14:34] [Epoch 04300] Loss = 5.000516e-01 | Residual = 1.000030e+00 | Variance(mean) = 5.675628e-11
[2026-03-10 15:15:56] [Epoch 04350] Loss = 5.000417e-01 | Residual = 1.000024e+00 | Variance(mean) = 1.887956e-11
[2026-03-10 15:17:18] [Epoch 04400] Loss = 5.000358e-01 | Residual = 1.000021e+00 | Variance(mean) = 3.108249e-10
[2026-03-10 15:18:43] [Epoch 04450] Loss = 5.000260e-01 | Residual = 1.000015e+00 | Variance(mean) = 1.429691e-10
[2026-03-10 15:20:08] [Epoch 04500] Loss = 5.000181e-01 | Residual = 1.000011e+00 | Variance(mean) = 6.343226e-11
[2026-03-10 15:21:33] [Epoch 04550] Loss = 5.000124e-01 | Residual = 1.000008e+00 | Variance(mean) = 2.001524e-10
[2026-03-10 15:22:58] [Epoch 04600] Loss = 5.000096e-01 | Residual = 1.000006e+00 | Variance(mean) = 1.346634e-11
[2026-03-10 15:24:23] [Epoch 04650] Loss = 5.000073e-01 | Residual = 1.000005e+00 | Variance(mean) = 3.423704e-11
[2026-03-10 15:25:46] [Epoch 04700] Loss = 5.000055e-01 | Residual = 1.000004e+00 | Variance(mean) = 3.002664e-11
[2026-03-10 15:27:09] [Epoch 04750] Loss = 5.000044e-01 | Residual = 1.000003e+00 | Variance(mean) = 5.798517e-11
[2026-03-10 15:28:31] [Epoch 04800] Loss = 5.000033e-01 | Residual = 1.000002e+00 | Variance(mean) = 3.428987e-11
[2026-03-10 15:29:54] [Epoch 04850] Loss = 5.000035e-01 | Residual = 1.000002e+00 | Variance(mean) = 6.435783e-11
[2026-03-10 15:31:16] [Epoch 04900] Loss = 5.000018e-01 | Residual = 1.000001e+00 | Variance(mean) = 2.253021e-11
[2026-03-10 15:32:39] [Epoch 04950] Loss = 5.000014e-01 | Residual = 1.000001e+00 | Variance(mean) = 9.349693e-11
[2026-03-10 15:34:01] [Epoch 05000] Loss = 5.000015e-01 | Residual = 1.000001e+00 | Variance(mean) = 5.920078e-11
[2026-03-10 15:34:03] Finished. Outputs written to: Qiskit_simulation/run/cluster12_qiskit_2x2_retry1_20260310/main
